Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_sd	diversification	extinction_rate	fossil_samp_rate	ln_branch_rates_mean	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
0	-881.976	-835.6556	-46.32039	23.45795	0.20693	0.178558	0.0951928	0.173943	0.171825	0.133566	0.14923	0.175674	0.176942	0.193288	0.208547	0.143575	0.156262	0.124667	0.22101	0.169686	0.145151	0.150635	0.143349	0.114159	0.115157	0.198234	0.158524	0.205576	0.135847	0.137198	0.164915	0.10184	0.126286	0.130651	0.148447	0.155883	0.128964	0.118214	0.159177	0.155837	0.150189	0.176782	0.200935	0.132525	0.156514	0.153095	0.1532913	0.2013767	0.05136796	0.1297691	0.02266955	-1.875415	0	29.51116	0.1811371	11.608	15.97	7.246	5.333	5.333	0.7164139
500	-473.4347	-508.2698	34.8351	22.65303	0.0564626	0.0823704	0.0421426	0.0623805	0.053524	0.0492168	0.0484901	0.0714205	0.0577688	0.063586	0.0572779	0.0425408	0.0641567	0.056468	0.0645294	0.0642076	0.0471409	0.0604307	0.0610281	0.0565497	0.0592182	0.051496	0.0463745	0.0708557	0.0844851	0.0421178	0.053783	0.0536485	0.0729909	0.0557474	0.0499699	0.0418186	0.0390406	0.0453992	0.0631964	0.0557121	0.0519982	0.0650067	0.0702486	0.0527952	0.0618548	0.0574649	0.05721494	0.2039489	0.1443877	0.03234462	0.02195809	-2.86094	5	23.75092	0.1767323	17.5808	19.3906	8.1373	13.9092	10.1639	0.1830148
1000	-406.8032	-506.2662	99.46303	24.2625	0.0487491	0.0466354	0.0446789	0.0459315	0.0439642	0.0480137	0.0470105	0.0446049	0.0452058	0.045973	0.0460047	0.0450639	0.0438159	0.0488252	0.042596	0.0453468	0.045053	0.041694	0.0460709	0.0447268	0.0486181	0.048936	0.0491528	0.0473643	0.043994	0.0416158	0.0477549	0.0461098	0.0448496	0.0465548	0.0450201	0.0446935	0.0466428	0.0412185	0.0443819	0.0488236	0.0472355	0.0461686	0.0471658	0.0419805	0.0436412	0.0416902	0.04588098	0.04730613	0.09901332	0.006245767	0.03738168	-3.081705	5	25.76065	0.1052591	21.5757	18.3788	7.57932	14.0502	13.4617	0.05933708
1500	-478.6218	-509.031	30.40916	23.07758	0.0318489	0.019241	0.0255036	0.0413517	0.0301231	0.0407997	0.0308224	0.0442989	0.0261078	0.0340036	0.0250796	0.0318775	0.028151	0.0268118	0.0394667	0.0287825	0.048217	0.027306	0.0290983	0.0330148	0.0419367	0.0345024	0.0208817	0.0207466	0.0538995	0.0457119	0.0314114	0.0348534	0.0420375	0.0360849	0.0225046	0.0312046	0.0268448	0.0320089	0.0377509	0.0338896	0.030798	0.0397132	0.0409797	0.0379822	0.0285444	0.0559717	0.03349402	0.2264237	0.131978	0.04889346	0.01054144	-3.396388	3	26.48474	0.1808715	14.5839	16.9288	10.3805	6.37237	8.11066	0.2703215
2000	-457.1479	-507.5079	50.36001	23.61459	0.0530591	0.0597521	0.0551979	0.0713668	0.0582113	0.0567116	0.0548699	0.0531643	0.0570686	0.0489935	0.0718829	0.0673459	0.0569226	0.0543519	0.0525748	0.0513583	0.0492205	0.0467924	0.0465539	0.0481429	0.0487994	0.0448704	0.0486127	0.0539429	0.0533296	0.0528985	0.0679051	0.0508002	0.0554917	0.0485342	0.0562822	0.0679189	0.051607	0.0600499	0.060148	0.0567336	0.049851	0.0499268	0.0543561	0.0574225	0.0612569	0.052321	0.05417545	0.125033	0.1889291	0.02403074	0.07522114	-2.915528	4	25.23807	0.2129599	20.9389	16.0012	7.39158	14.6036	14.4208	0.1128416
2500	-371.7518	-501.2201	129.4683	22.56431	0.0534526	0.0551177	0.0541131	0.0534863	0.0540615	0.0527664	0.0531004	0.0556713	0.0538378	0.05321	0.0544078	0.054842	0.0522404	0.0537737	0.0529159	0.0539337	0.0542054	0.0544609	0.0534257	0.0546546	0.0552555	0.0528847	0.053997	0.0546043	0.0546941	0.0528305	0.0538977	0.0562147	0.0538636	0.0550624	0.0542338	0.0531979	0.0531796	0.0530304	0.0543915	0.0552979	0.0542057	0.0539384	0.0548696	0.0542964	0.0543837	0.0531905	0.05404235	0.01381488	0.06252647	0.03313342	0.03306704	-2.917987	3	29.66348	0.09565989	21.4312	16.5659	8.21323	12.1407	12.0683	0.3463669
3000	-400.2757	-512.0608	111.7851	22.56192	0.0565119	0.0546915	0.0535187	0.0561981	0.0589848	0.0551235	0.0559919	0.056641	0.0547027	0.0566108	0.0548492	0.0562287	0.0570224	0.0560513	0.0580489	0.0568055	0.0540684	0.0569528	0.0573772	0.05307	0.0527416	0.0561773	0.0552602	0.0569792	0.0536152	0.0554298	0.0533302	0.0571226	0.0541736	0.055645	0.0559668	0.0560096	0.0571626	0.0560167	0.0571573	0.0546577	0.0557814	0.0545853	0.0569839	0.0533417	0.0539826	0.0567114	0.05545565	0.02518765	0.06380189	0.07284218	0.05616962	-2.892172	4	29.05182	0.1366441	17.1403	17.4922	10.4556	12.6811	15.1641	0.5330797
3500	-411.0868	-505.3069	94.22007	26.08607	0.0470566	0.0501314	0.0459352	0.0474968	0.0482703	0.0487269	0.0509914	0.0468554	0.0491015	0.0463035	0.0428159	0.0485087	0.048957	0.0474255	0.0469767	0.0481913	0.0515521	0.046143	0.0479582	0.0521514	0.0485112	0.047196	0.0478948	0.0484777	0.0464887	0.0493579	0.0500116	0.0449375	0.0422385	0.0487764	0.0481211	0.0493832	0.0463979	0.0481747	0.0487502	0.0501402	0.048304	0.0515126	0.0468466	0.0478738	0.045537	0.0479328	0.04762265	0.04737079	0.1459697	0.06144794	0.02597914	-3.044447	4	26.82131	0.2074176	14.9992	16.2108	9.76172	11.801	14.3728	0.2962522
4000	-451.9149	-502.5146	50.59967	19.54919	0.0595883	0.0599104	0.0464055	0.0752228	0.054124	0.061932	0.0563082	0.0441881	0.0645444	0.0557722	0.054042	0.0528662	0.050763	0.0568216	0.0509924	0.0522188	0.0564097	0.0459895	0.0485077	0.0598352	0.0549717	0.0577136	0.0561952	0.0582461	0.0532015	0.0604082	0.0567969	0.0687181	0.0580496	0.056282	0.0587357	0.0636984	0.0464279	0.0515058	0.0438342	0.0598591	0.0629206	0.0487713	0.0463928	0.0607289	0.049366	0.0547118	0.05458726	0.1179629	0.1250471	0.02530722	0.04955264	-2.907955	4	20.97497	0.1503543	12.7554	16.7084	10.2627	6.77376	8.06995	0.1683172
4500	-466.9274	-503.3023	36.37483	18.06451	0.0722734	0.0711552	0.0551812	0.0688635	0.0656074	0.0443383	0.057101	0.0660046	0.0633537	0.0506399	0.0540829	0.0686183	0.0579456	0.0532407	0.068341	0.0707164	0.0511773	0.0669243	0.0429791	0.0727122	0.0646842	0.0598308	0.0563121	0.0519473	0.0686086	0.0610119	0.0511645	0.0407645	0.0541732	0.0611622	0.0464806	0.0590348	0.0524788	0.0709607	0.0575627	0.0678773	0.0492945	0.0612586	0.0516439	0.057887	0.0548574	0.053019	0.05936949	0.1427135	0.04085152	0.1729151	0.05611808	-2.823975	3	24.34537	0.2137666	14.0894	16.7661	8.26868	9.44424	10.4033	0.8088967
