Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
0	-1758.119	-1635.971	-122.1472	24.64138	0.001362194	-0.126418	0.2666107	0.04915818	0	25.72913	0.1401928	15.97	5.333	5.333	7.246	11.608	1.901744
500	-607.7888	-503.2039	-104.5849	25.67129	0.05997707	0.0568061	0.132798	0.01935455	4	25.80417	0.1896041	17.3838	12.9778	15.7685	8.57594	17.7459	0.7003963
1000	-602.5972	-502.7552	-99.84201	25.12993	0.05068243	0.1701982	0.009860332	0.05712468	5	26.46248	0.1800586	16.0266	9.38066	9.78603	7.3412	21.2032	0.05476181
1500	-607.8246	-503.5476	-104.277	22.2422	0.04813168	0.1274518	0.1089167	0.03447107	4	22.51351	0.2363685	16.6176	15.3435	14.729	8.69571	15.5815	0.460792
2000	-614.4899	-507.002	-107.488	27.40889	0.0343013	0.1540766	0.02980598	0.04282738	4	29.08618	0.1838826	16.3289	8.52522	8.11704	9.0719	18.3266	0.1620924
2500	-606.481	-498.8045	-107.6766	24.79899	0.04007016	0.06806089	0.07115157	0.02394457	3	25.89386	0.1392125	16.115	6.2651	6.2723	7.6181	14.5527	0.5111006
3000	-611.9403	-501.6059	-110.3344	28.20309	0.0376481	0.05992317	0.1157584	0.03007646	3	29.30208	0.1756816	16.5417	12.1992	13.4463	11.0384	20.9947	0.6589103
3500	-609.902	-501.9896	-107.9124	25.11942	0.03565784	0.0723682	0.04284174	0.02953944	4	27.43516	0.1152099	19.2509	12.8863	15.6743	9.14771	18.9041	0.371858
4000	-629.6183	-502.081	-127.5373	26.5526	0.02969248	0.1436665	0.1829887	0.0125571	1	27.83732	0.3266552	18.7498	6.52815	6.79266	10.5872	15.3036	0.5601891
4500	-612.4955	-505.2004	-107.2951	23.99646	0.04347042	0.07237885	0.05419092	0.01658781	4	24.04706	0.1265698	16.9378	9.28564	14.0859	7.95786	17.9912	0.4281506
5000	-615.19	-503.6097	-111.5803	23.72389	0.02983453	0.1035808	0.05648771	0.01268776	3	25.88919	0.1600685	17.0733	9.00791	9.32432	11.0144	18.1868	0.352897
5500	-615.6502	-504.2407	-111.4095	27.54502	0.03828429	0.03183421	0.1367258	0.01806166	3	28.15148	0.16856	19.0484	8.95873	7.50157	10.9388	17.4876	0.8111402
6000	-605.1607	-500.7477	-104.413	22.55292	0.04861592	0.07620132	0.07526941	0.03884168	4	25.91225	0.1514707	16.8972	10.9943	10.4648	7.35881	19.974	0.4969238
